"","AID","row.names","PT","BA","BE","Z2","Y1","AE","Z3","BS","VL","MA","BP","EP","AR","SU","PD","AK","CT","CY","SP","CL"
"1","A001","J","Abdollahi, Z; Gomes, VG","","","Synthesis and characterization of polyacrylamide with controlled molar weight","","","ResearchGate","","","1","7","","","",2011,"","","","",1
"2","A002","J","Agrawal, M.; Mishra, P.","","","A Comparative Survey on Symmetric Key Encryption Techniques","","","ResearchGate","4","5","","","","","May",2012,"","","","",2
"3","A003","J","Akilla, B.; Manickavasakam, K.","","","Anatomical studies on the seeds of Alternanthera sessilis Linn","","","ResearchGate","","","","","","","",2014,"","","","",1
"4","A004","J","Alexander, A. L.; Brunye, T.; Sidman, J.; Weil, S. A.","","","From Gaming to Training: A Review of Studies on Fidelity, Immersion, Presence, and Buy-in and Their Effects on Transfer in PC-Based Simulations and Games","","","ResearchGate","","","","","","","Jan",2005,"","","","",1
"5","A005","J","Allis, D. G.; Korter, T. M.","","","Development of Computational Methodologies for the Prediction and Analysis of Solid-State Terahertz Spectra, 2","","","ResearchGate","17","","193","212","","","",2007,"","","","",1
"6","A006","J","Amrollahi, A.","","","A Process Model for Crowdsourcing: Insights from the Literature on Implementation","","","Research Gate","","","","","","","",2016,"","","","",1
"7","A007","J","Arbizu, PM","","","","","","How can I do PerMANOVA pairwise contrasts in R? ResearchGate","","","","","","","Jan 30",2016,"","","","",1
"8","A008","J","Polovodova Asteman, I. R.; Schonfeld, J.","","","Recent invasion of the foraminifer Nonionella stella Cushman & Moyer, 1930 in northern European waters: evidence from the Skagerrak and its Fjords","","","ResearchGate","35","1","","","","","",2015,"","","","",1
"9","A009","J","Aubry, S.; Andre, G.","","","","","","ResearchGate","3","","","","","","Jan.",1980,"","","","",1
"10","A010","J","Aucoin, M.; Fry, M.","","","Growing local food movements: Farmers' markets as nodes for products and community","","","ResearchGate","56","","61","78","","","",2015,"","","","",1
"11","A011","J","Auerswald, K.; Hafner, B.D.; Konig, A.","","","Data of Hoof growth rates of the European roe deer (Capreolus capreolus) for dating the hoof's isotopic archive published in Forests","","","ResearchGate","","","","","","DOI 10.13140/RG.2.2.21031.85925","",2017,"","","","",1
"12","A012","J","Avallone, S.; Guadagno, S.; Emma, D.; Pescape, A.; Ventre, G.","","","DITG Distributed Internet Traffic Generator","","","ResearchGate","","","316","317","","","",2004,"","","","",1
"13","A013","J","Backfrieder, C.; Ostermayer, G.; Mecklenbrauker, C. F.","","","TraffSim - A traffic simulator for investigations of congestion minimization through dynamic vehicle rerouting","","","ResearchGate","15","4","38","47","","","Aug.",2014,"","","","",2
"14","A014","J","Bako-Biro, Z.; Kochhar, N.; Clements-Croome, D.J.; Awbi, H.B.; Willianis, M.","","","Ventilation Rates in Schools and Learning Performance","","","ResearchGate","","","","","","","",2007,"","","","",1
"15","A015","J","Zhan, Jianfeng","","","","","","Big Data Benchmarks, Performance Optimization, and Emerging Hardware: 4th and 5th Workshops","","","","","","","",2014,"","","","",1
"16","A016","J","Bandyopadhyay, A. K.","","","Generalized Thevenins ' theorem and its proof","","","ResearchGate","","","","","","10.13140/RG.2.1.3332.5605","Apr. 24",2015,"","","","",1
"17","A017","J","Bartram, J.","","","Water quality: guidelines, standards, and health: assessment of risk and risk management for water-related infectious disease","","","ResearchGate","","","","","","","",2001,"","","","",1
"18","A018","J","Basam, Venkata R; Ravi Kumar, G","","","","","","Evolutionary Approach Based Design of BLDC Motor controller with H8 Objectives","","","","","","","",2010,"","","","",1
"19","A019","J","Basawapatna, A. R.; Repenning, A.; Lewis, C. H.","","","The simulation creation toolkit: An initial exploration into making programming accessible while preserving computational thinking","","","ResearchGate","","","501","506","","","",2013,"","","","",1
"20","A020","J","Basrah, J.","","","Vibration Analysis and Diagnostic Guide","","","ResearchGate","","","","","","","December",2016,"","","","",1
"21","A021","J","Bastian, M.; Heymann, S.; Jacomy, M.","","","Gephi: An Open Source Software for Exploring and Manipulating Networks","","","ResearchGate","","","","","","","",NA,"","","","",1
