,AID,Format,Valid,Fulltext_Available,DOI_Available,Link_Available,RG_Details,Work_Type,row.names,PT,BA,BE,Z2,Y1,AE,Z3,BS,VL,MA,BP,EP,AR,SU,PD,AK,CT,CY,SP,CL
1,A001,No,No,Yes,Yes,Yes,No,ARTICLE,J,"Abdollahi, Z; Gomes, VG",,,Synthesis and characterization of polyacrylamide with controlled molar weight,,,ResearchGate,,,1,7,,,,2011,,,,,1
2,A002,ieee,NA,NA,NA,NA,NA,NA,J,"Agrawal, M.; Mishra, P.",,,A Comparative Survey on Symmetric Key Encryption Techniques,,,ResearchGate,4,5,,,,,May,2012,,,,,2
3,A003,No,No,No,Yes,No,Yes,ARTICLE,J,"Akilla, B.; Manickavasakam, K.",,,Anatomical studies on the seeds of Alternanthera sessilis Linn,,,ResearchGate,,,,,,,,2014,,,,,1
4,A004,ieee,NA,NA,NA,NA,NA,NA,J,"Alexander, A. L.; Brunye, T.; Sidman, J.; Weil, S. A.",,,"From Gaming to Training: A Review of Studies on Fidelity, Immersion, Presence, and Buy-in and Their Effects on Transfer in PC-Based Simulations and Games",,,ResearchGate,,,,,,,Jan,2005,,,,,1
5,A005,NA,NA,NA,NA,NA,NA,NA,J,"Allis, D. G.; Korter, T. M.",,,"Development of Computational Methodologies for the Prediction and Analysis of Solid-State Terahertz Spectra, 2",,,ResearchGate,17,,193,212,,,,2007,,,,,1
6,A006,No,No,Yes,No,No,Yes,PROCEEDINGS PAPER,J,"Amrollahi, A.",,,A Process Model for Crowdsourcing: Insights from the Literature on Implementation,,,Research Gate,,,,,,,,2016,,,,,1
7,A007,Yes,Yes,Yes,Yes,Yes,Yes,NOTE,J,[Anonymous],,,Supplementary material- NPh 17044SS,,,ResearchGate,,,,,,,20-Jun,2017,,,,,1
8,A008,Yes,Yes,Yes,Yes,No,Yes,ARTICLE,J,[Anonymous],,,Assessment of referral characteristics of a sample of patients attending the secondary care units at Erbil teaching hospital,,,ResearchGate,7,2,70,6,,,,2011,,,,,1
9,A009,Yes,No,Yes,Yes,No,Yes,ARTICLE,J,[Anonymous],,,Uncovering Excellence in Academic Rankings: A Closer Look at the Shanghai Ranking,,,ResearchGate,,,,,,,14-Jul,2009,,,,,1
10,A010,No,No,No,Yes,No,Yes,PROCEEDINGS PAPER,J,[Anonymous],,,Academic paper insights: Investment decision making by using fuzzy candlestick pattern and genetic algorithm,,,ResearchGate,,,,,,,,NA,,,,,1
11,A011,No,No,No,No,No,Yes,ARTICLE,J,[Anonymous],,,Improvement of contusive spinal cord injury in rats by co- transplantation of gamma- aminobutyric acidergic cells and bone marrow stromal cells,,,ResearchGate,,,,,,,,NA,,,,,1
12,A012,Yes,Yes,Yes,Yes,Yes,Yes,DISCUSSION,J,"Arbizu, PM",,,,,,How can I do PerMANOVA pairwise contrasts in R? ResearchGate,,,,,,,30-Jan,2016,,,,,1
13,A013,No,No,NA,No,No,NA,NA,J,"Aubry, S.; Andre, G.",,,,,,ResearchGate,3,,,,,,Jan.,1980,,,,,1
14,A014,Yes,No,Yes,No,No,No,ARTICLE,J,"Aucoin, M.; Fry, M.",,,Growing local food movements: Farmers' markets as nodes for products and community,,,ResearchGate,56,,61,78,,,,2015,,,,,1
15,A015,Yes,Yes,Yes,Yes,Yes,Yes,data,J,"Auerswald, K.; Hafner, B.D.; Konig, A.",,,Data of Hoof growth rates of the European roe deer (Capreolus capreolus) for dating the hoof's isotopic archive published in Forests,,,ResearchGate,,,,,,DOI 10.13140/RG.2.2.21031.85925,,2017,,,,,1
16,A016,NA,NA,NA,NA,NA,NA,NA,J,"Avallone, S.; Guadagno, S.; Emma, D.; Pescape, A.; Ventre, G.",,,DITG Distributed Internet Traffic Generator,,,ResearchGate,,,316,317,,,,2004,,,,,1
17,A017,NA,NA,NA,NA,NA,NA,NA,J,"Backfrieder, C.; Ostermayer, G.; Mecklenbrauker, C. F.",,,TraffSim - A traffic simulator for investigations of congestion minimization through dynamic vehicle rerouting,,,ResearchGate,15,4,38,47,,,Aug.,2014,,,,,2
18,A018,NA,NA,NA,NA,NA,NA,NA,J,"Bako-Biro, Z.; Kochhar, N.; Clements-Croome, D.J.; Awbi, H.B.; Willianis, M.",,,Ventilation Rates in Schools and Learning Performance,,,ResearchGate,,,,,,,,2007,,,,,1
19,A019,NA,NA,NA,NA,NA,NA,NA,J,"Bandyopadhyay, A. K.",,,Generalized Thevenins ' theorem and its proof,,,ResearchGate,,,,,,10.13140/RG.2.1.3332.5605,Apr. 24,2015,,,,,1
20,A020,NA,NA,NA,NA,NA,NA,NA,J,"Bartram, J.",,,"Water quality: guidelines, standards, and health: assessment of risk and risk management for water-related infectious disease",,,ResearchGate,,,,,,,,2001,,,,,1
21,A021,NA,NA,NA,NA,NA,NA,NA,J,"Basam, Venkata R; Ravi Kumar, G",,,,,,Evolutionary Approach Based Design of BLDC Motor controller with H8 Objectives,,,,,,,,2010,,,,,1
22,A022,NA,NA,NA,NA,NA,NA,NA,J,"Basawapatna, A. R.; Repenning, A.; Lewis, C. H.",,,The simulation creation toolkit: An initial exploration into making programming accessible while preserving computational thinking,,,ResearchGate,,,501,506,,,,2013,,,,,1
23,A023,NA,NA,NA,NA,NA,NA,NA,J,"Basrah, J.",,,Vibration Analysis and Diagnostic Guide,,,ResearchGate,,,,,,,December,2016,,,,,1
24,A024,NA,NA,NA,NA,NA,NA,NA,J,"Bastian, M.; Heymann, S.; Jacomy, M.",,,Gephi: An Open Source Software for Exploring and Manipulating Networks,,,ResearchGate,,,,,,,,NA,,,,,1
25,A025,NA,NA,NA,NA,NA,NA,NA,J,"Bentaha, M. L.; Dolgui, A.; Battaia, O.",,,Problem Instances I Have Used in the Numerical Experiments of My Work on Disassembly Line Design and Balancing under Uncertainty,,,Researchgate,1,,1,14,,DOI 10.13140/RG.2.1.5163.5043,,2015,,,,,1
26,A026,NA,NA,NA,NA,NA,NA,NA,J,"Bhagawati, A.; Chutia, R.",,,Design of Single Channel Portable EEG Signal Acquisition System for Brain Computer Interface Application,,,ResearchGate,,,,,,,,2016,,,,,1
27,A027,NA,NA,NA,NA,NA,NA,NA,J,"Bhattacharyya, A. S.; Gaurav, K.; Kommu, P. Y.",,,,,,Researchgate,,,,,,10.13140/RG.2.1.5077.8082,,2015,,,,,1
28,A028,NA,NA,NA,NA,NA,NA,NA,J,"Bhavanani, AB",,,Yoga for health in children,,,ResearchGate,,,,,,,,2007,,,,,1
29,A029,NA,NA,NA,NA,NA,NA,NA,J,"Binol, H.; Uslu, F.; Bal, A.",,,Unsupervised Nonlinear Feature Extraction Method And Its Effects On Target Detection In High-Dimensional Data,,,ResearchGate,,,,,,,,2015,,,,,1
30,A030,NA,NA,NA,NA,NA,NA,NA,J,"Bishop, A.; Henkel, D. J.",,,The Measurement of Soil Properties in the Triaxial Test,,,ResearchGate,,,,,,,Jan.,1957,,,,,1
31,A031,NA,NA,NA,NA,NA,NA,NA,J,"Bobadila, R.; Berr, A.",,,Histone Methylation-A corertone for plant responses to environmental stresses?,,,ResearchGate,,,31,61,,,,2016,,,,,1
32,A032,NA,NA,NA,NA,NA,NA,NA,J,"Boehm, B. W.",,,Some Future Software Engineering Opportunities and Challenges,,,ResearchGate,,,1,32,,,,2010,,,,,1
33,A033,NA,NA,NA,NA,NA,NA,NA,J,"Bollen, K. A.; Jackman, R. W.",,,Regression diagnos-tics: an expository treatment of outliers and influential cases,,,ResearchGate,13,,510,542,,,,1990,,,,,1
34,A034,NA,NA,NA,NA,NA,NA,NA,J,"Boyd, Danah",,,"Social Network Sites as Networked Publics: Affordances, Dynamics, and Implications",,,ResearchGate,,,,,,,,2010,,,,,3
