,CID,AID,PT,AU,GP,RI,OI,BE,TI,SO,SE,VL,IS,BP,EP,AR,DI,PD,PY,CT,CY,SP,CL,TC,Z8,ZR,ZB,ZS,Z9,SN,EI,BN,UT,PM
1,R001,,J,"Goncalves, Jose; Gutierrez-Aguirre, Ion; Balasubramanian, Mukundh N.; Zagorscak, Maja; Ravnikar, Maja; Turk, Valentina",,,,,Surveillance of human enteric viruses in coastal waters using concentration with methacrylate monolithic supports prior to detection by RT-qPCR,MARINE POLLUTION BULLETIN,,128,NA,307,317,,10.1016/j.marpolbul.2018.01.040,18-Mar,2018,,,,,0,0,0,0,0,0,0025-326X,1879-3363,,WOS:000430645600035,29571377
2,R002,A003,J,"Nguemte, P. Matsodoum; Wafo, G. V. Djumyom; Djocgoue, P. F.; Noumsi, I. M. Kengne; Ngnien, A. Wanko",,,,,Potentialities of Six Plant Species on Phytoremediation Attempts of Fuel Oil-Contaminated Soils,WATER AIR AND SOIL POLLUTION,,229,3,NA,NA,88,10.1007/s11270-018-3738-9,18-Mar,2018,,,,,0,0,0,0,0,0,0049-6979,1573-2932,,WOS:000428305400036,NA
3,R003,,J,"Ben-David, Tom; Waring, Michael S.",,,,,Interplay of ventilation and filtration: Differential analysis of cost function combining energy use and indoor exposure to PM2.5 and ozone,BUILDING AND ENVIRONMENT,,128,NA,320,335,,10.1016/j.buildenv.2017.10.025,JAN 15 2018,2018,,,,,0,0,0,0,0,0,0360-1323,1873-684X,,WOS:000423004900028,NA
4,R004,A007,J,"Morais, Guilherne Augusto Zimeo; Scholkmann, Felix; Balardin, Joana Bisol; Furucho, Rogerio Akira; de Paula, Renan Costa Vieira; Biazoli, Claudinei Eduardo, Jr.; Sato, Joao Ricardo",,,,,Non-neuronal evoked and spontaneous hemodynamic changes in the anterior temporal region of the human head may lead to misinterpretations of functional near-infrared spectroscopy signals,NEUROPHOTONICS,,5,1,NA,NA,11002,10.1117/1.NPh.5.1.011002,JAN-MAR 2018,2018,,,,,0,0,0,0,0,0,2329-423X,2329-4248,,WOS:000429587200002,NA
5,R005,A015,J,"Hafner, Benjamin D.; Koenig, Andreas; Auerswald, Karl",,,"Hafner, Benjamin D/0000-0003-2348-9200",,Hoof Growth Rates of the European Roe Deer (Capreolus capreolus) for Dating the Hoof's Isotopic Archive,FORESTS,,8,12,NA,NA,462,10.3390/f8120462,17-Dec,2017,,,,,0,0,0,0,0,0,1999-4907,,,WOS:000419210800003,NA
6,R006,A001,J,"Cisneros-Covarrubias, Candida A.; Corona-Rivera, Miguel A.; Ovando-Medina, Victor M.; Martinez-Gutierrez, Hugo; Mendizabal, Eduardo; Manriquez-Gonzalez, Ricardo",,"CORONA RIVERA, MIGUEL ANGEL/O-5228-2014","CORONA RIVERA, MIGUEL ANGEL/0000-0001-9504-8506",,Water-dispersible nanohydrogels of cross-linked polyacrylamide,COLLOID AND POLYMER SCIENCE,,295,12,2395,2404,,10.1007/s00396-017-4211-9,17-Dec,2017,,,,,0,0,0,0,0,0,0303-402X,1435-1536,,WOS:000414945700013,NA
7,R007,A012,J,"Mezzasalma, Valerio; Sandionigi, Anna; Bruni, Ilaria; Bruno, Antonia; Lovicu, Gianni; Casiraghi, Maurizio; Labra, Massimo",,,,,Grape microbiome as a reliable and persistent signature of field origin and environmental conditions in Cannonau wine production,PLOS ONE,,12,9,NA,NA,e0184615,10.1371/journal.pone.0184615,SEP 11 2017,2017,,,,,2,0,0,0,0,2,1932-6203,,,WOS:000410243200019,28892512
8,R008,A008,J,"Shukor, Ali R.; Klazinga, Niek S.; Kringos, Dionne S.",,,,,"Primary care in an unstable security, humanitarian, economic and political context: the Kurdistan Region of Iraq",BMC HEALTH SERVICES RESEARCH,,17,NA,NA,NA,592,10.1186/s12913-017-2501-z,AUG 23 2017,2017,,,,,0,0,0,0,0,0,1472-6963,,,WOS:000408473000006,28835274
9,R009,,J,"Heydt, G. T.",,,,,Thevenin's Theorem Applied to the Analysis of Polyphase Transmission Circuits,IEEE TRANSACTIONS ON POWER DELIVERY,,32,1,72,77,,10.1109/TPWRD.2016.2537264,17-Feb,2017,,,,,0,0,0,0,0,0,0885-8977,1937-4208,,WOS:000394539200008,NA
10,R010,NA,B,"Chen, Peng; Li, Ding; Huang, Ronghuai",,,,"Chen, W; Yang, JC; Ayub, AFM; Wong, SL; Mitrovic, A",A Study of Design Thinking Adaptation for Maker Education Process,25TH INTERNATIONAL CONFERENCE ON COMPUTERS IN EDUCATION (ICCE 2017): TECHNOLOGY AND INNOVATION: COMPUTER-BASED EDUCATIONAL SYSTEMS FOR THE 21ST CENTURY,,NA,NA,820,822,,,2017,2017,25th International Conference on Computers in Education (ICCE) - Technology and Innovation - Computer-Based Educational Systems for the 21st Century25th International Conference on Computers in Education (ICCE) - Technology and Innovation - Computer-Based Educational Systems for the 21st Century,"DEC 04-08, 2017DEC 04-08, 2017",,"Christchurch, NEW ZEALANDChristchurch, NEW ZEALAND",0,0,0,0,0,0,,,978-986-94012-6-5,WOS:000431848700137,NA
