"","AID","row.names","PT","CA","Z2","Z3","BS","VL","MA","BP","EP","AR","SU","PD","AK","CT","CY","SP","CL"
"1","B001","J","Abrate, S.","","Vibration of belts and belt driver, Mechanism and machine theory","Research Gate","","",NA,NA,NA,"DOI 10.1016/0094-114X(92)90064-O","November,",1992,"","","","",1
"2","B002","J","Amrollahi, A.","","A Process Model for Crowdsourcing: Insights from the Literature on Implementation","Research Gate","","",NA,NA,NA,"","",2016,"","","","",1
"3","B003","J","Ardron, J. A.; Wallace, S.","","Modelling inshore rockfish habitat in British Columbia: A pilot study","Research Gate","","",NA,NA,NA,"","",2015,"","","","",1
"4","B004","J","Barua, A.; Lang, K. R.; Susarla, A.; Whinston, A B.","","","Research Gate","","",NA,NA,NA,"","",2013,"","","","",1
"5","B005","J","Belforte, P.","","","Research gate","","",NA,NA,NA,"","",2016,"","","","",1
"6","B006","J","Bukenya, F.; Kiweewa, A.; Bai, L.","","A Review of Vessel Segmentation Techniques","Research Gate","","",NA,NA,NA,"","",2017,"","","","",1
"7","B007","J","Bunting, P. J.; Armston, J.; Lucas, R.; Clewley, D.","","","Research Gate","","",NA,NA,NA,"","2 February",2015,"","","","",1
"8","B008","J","Burdea, Grigore C.; Jain, Abhishek; Rabin, Bryan; Pellosie, Richard; Golomb, Meredith","IEEE","Long-Term Hand Tele-Rehabilitation on the PlayStation 3: Benefits and Challenges","IEEE Engineering in Medicine and Biology Society Conference Proceedings","","",1835,1838,NA,"10.1109/IEMBS.2011.6090522","2011",2011,"33rd Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS)","AUG 30-SEP 03, 2011","IEEE; Engn Med & Biol Soc (EMBS)","Boston, MA",10
"9","B009","J","Burleson, Wayne; Clark, Shane S.; Ransford, Benjamin; Fu, Kevin","","Design Challenges for Secure Implantable Medical Devices","Research gate","","",NA,NA,NA,"","January",2012,"","","","",1
"10","B010","J","Celebi, M. Emre; Kingravia, Hassan A.; Aslandogan, Y. Alp; Stoecker, William V.","","Detection of Blue-White Veil Areas in Dermoscopy Images Using Machine Learning Techniques","Research Gate","","",NA,NA,NA,"","",2006,"","","","",1
"11","B011","J","Cheunta, Weerasak; Chirdchoo, Nitthita; Saelim, Kanittha","","Efficiency Improvement of an Integrated Giant Freshwater-White Prawn Farming in Thailand Using a Wireless Sensor Network","Research Gate","","",NA,NA,NA,"","DECEMBER",2014,"","","","",1
"12","B012","J","Chiad, Sami Salman; Habubi, Nadir Fadhil; Khaleel, Reem Saadi; Abdul Hussein, Obaida Amer","","","Research Gate","","",515,515,NA,"","",2010,"","","","",1
"13","B013","J","Cosgrove, M.; Rhodes, B.; Scott, J.","","Ultra-low-cost Logging Anemometer for Wind Power Generation Feasibility Surveys","Research Gate","","",NA,NA,NA,"","January",2007,"","","","",1
"14","B014","J","Dai, X.; Zhao, Y.; Li, M.; Fang, X.; Li, X.; Li, H.; Xu, B.","","","Research Gate","4","",1557,1565,NA,"","",2013,"","","","",1
"15","B015","J","Das, P. C.; Chatterjee, P.; Kumar, P.; Kumar, G.; Dey, A. B.","","Prevalence and predictors of geriatric syndromes in an outpatient clinic at a tertiary care hospital of India","Research Gate","2","1",117,120,NA,"","",2012,"","","","",1
"16","B016","J","Datcu, Dragos","","Emotion recognition using brain activity","research gate","","",NA,NA,NA,"","",2008,"","","","",1
"17","B017","J","Diels, C.; Bos, J. E.","","Self-driving carsickness","Research Gate","","",1,15,NA,"","Oct.",2015,"","","","",1
"18","B018","J","Elliott, D; Smith, D","","Football stadia disasters in the United Kingdom: learning from tragedy?","Indust. Environ. Crisis Q.","7","",205,29,NA,"","",1993,"","","","",45
"19","B019","J","Fabiano, B.; Curro, F.; Reverberi, A. P.; Pastorino, R.","","Dangerous good transportation by road: from risk analysis to emergency planning","Research Gate","","",NA,NA,NA,"","",2005,"","","","",1
"20","B020","J","Fallahkhair, S.; Cocea, M.; Altrabsheh, N.","","Learning sentiment from students' feedback","research gate","","",44,48,NA,"","",2014,"","","","",1
"21","B021","J","Felipe, DVL","","BioDocker: an open-source and community-driven framework for software standardization","Research-Gate","","",NA,NA,NA,"","",2017,"","","","",1
"22","B022","J","Ghazali, Kamarul Hawari; Mustafa, Marzuki; Hussain, Aini","","Feature Extraction Technique using SIFT Keypoint Descriptors","Research Gate","","",740,744,NA,"","",2007,"","","","",1
"23","B023","J","Gupta, S; Jain, SK","","An application of 5S concept to organize the workplace at a scientific instruments manufacturing company","Research Gate","","",NA,NA,NA,"DOI 10.1108/IJLSS-08-2013-0047","March",2015,"","","","",1
"24","B024","J","Jakobek, L.; Seruga, M.; Novak, I.; Medvidovic-Kosanovic, M.","","","Research Gate","103","",1,1,NA,"","",2007,"","","","",1
"25","B025","J","Jesse, H.; Renee, B.; Anje, S.; Willem, C.; Ricardo, B.","","Coronary Artery Assessment by Multidectector Computed Tomography in patients with prosthetic heart valve","Research Gate","22","",1278,1286,NA,"","Nov.",2012,"","","","",1
"26","B026","J","Jovicic, J.; Zavaliangos, A.; Ko, F.","","Numerical modeling of impact behavior of integrated gradient design composite materials","Research Gate.","","",1,35,NA,"","",2015,"","","","",1
"27","B027","J","Kavitha, G.; Ramani, G.; Dhass, P. K.; Aruna, R. M.","","Oxidative stress, interleukin (IL- 6) and atherogenic index of plasma in diabetic nephropathy","Research Gate","2","",211,216,NA,"","",2011,"","","","",1
"28","B028","J","Kim, Kibum; Bolton, John; Girouard, Audrey; Cooperstock, Jeremy; Vertegaal, Roel","","Tele Human: Effects of 3D perspective on gaze and pose estimation with life-size cylindrical telepresence pod","research gate","","",NA,NA,NA,"","January",2012,"","","","",1
"29","B029","J","Kobmoo, N.","","How can we extract the hemolymph from insects, especially from small ones like ants?","Research Gate","8","",19,19,NA,"","",2012,"","","","",1
"30","B030","J","Kosnatha, S; dan Utomo, J. P.","","Komposisi dan Karakteristik Beton Geopolimer dari Fly Ash Tipe C dan Tipe F","Research Gate","","",NA,NA,NA,"","",2007,"","","","",1
"31","B031","J","Kraft, R.","","A maschine learning approach to improve precision for navigational queries in a web information retrieval system","Research Gate","","",NA,NA,NA,"","",2002,"","","","",1
