"","AID","Format","Valid","Fulltext_Available","DOI_Available","Link_Available","RG_Details","Work_Type","row.names","PT","CA","Z2","Z3","BS","VL","MA","BP","EP","AR","SU","PD","AK","CT","CY","SP","CL"
"1","D001",NA,NA,NA,NA,NA,NA,NA,"J","Almeida, MM","","Human Resources for Health in Brazil","Research Gate.","","",NA,NA,NA,"10.13140/2.1.3749.5360","",2014,"","","","",1
"2","D002",NA,NA,NA,NA,NA,NA,NA,"J","Ardron, J. A.; Wallace, S.","","Modelling inshore rockfish habitat in British Columbia: A pilot study","Research Gate","","",NA,NA,NA,"","",2015,"","","","",1
"3","D003",NA,NA,NA,NA,NA,NA,NA,"J","Belforte, P.","","","Research gate","","",NA,NA,NA,"","",2016,"","","","",1
"4","D004",NA,NA,NA,NA,NA,NA,NA,"J","Bukenya, F.; Kiweewa, A.; Bai, L.","","A Review of Vessel Segmentation Techniques","Research Gate","","",NA,NA,NA,"","",2017,"","","","",1
"5","D005",NA,NA,NA,NA,NA,NA,NA,"J","Burdea, Grigore C.; Jain, Abhishek; Rabin, Bryan; Pellosie, Richard; Golomb, Meredith","IEEE","Long-Term Hand Tele-Rehabilitation on the PlayStation 3: Benefits and Challenges","IEEE Engineering in Medicine and Biology Society Conference Proceedings","","",1835,1838,NA,"10.1109/IEMBS.2011.6090522","2011",2011,"33rd Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS)","AUG 30-SEP 03, 2011","IEEE; Engn Med & Biol Soc (EMBS)","Boston, MA",10
"6","D006",NA,NA,NA,NA,NA,NA,NA,"J","Chiad, Sami Salman; Habubi, Nadir Fadhil; Khaleel, Reem Saadi; Abdul Hussein, Obaida Amer","","","Research Gate","","",515,515,NA,"","",2010,"","","","",1
"7","D007",NA,NA,NA,NA,NA,NA,NA,"J","Dai, X.; Zhao, Y.; Li, M.; Fang, X.; Li, X.; Li, H.; Xu, B.","","","Research Gate","4","",1557,1565,NA,"","",2013,"","","","",1
"8","D008",NA,NA,NA,NA,NA,NA,NA,"J","Das, P. C.; Chatterjee, P.; Kumar, P.; Kumar, G.; Dey, A. B.","","Prevalence and predictors of geriatric syndromes in an outpatient clinic at a tertiary care hospital of India","Research Gate","2","1",117,120,NA,"","",2012,"","","","",1
"9","D009",NA,NA,NA,NA,NA,NA,NA,"J","Elliott, D; Smith, D","","Football stadia disasters in the United Kingdom: learning from tragedy?","Indust. Environ. Crisis Q.","7","",205,29,NA,"","",1993,"","","","",45
"10","D010",NA,NA,NA,NA,NA,NA,NA,"J","Fabiano, B.; Curro, F.; Reverberi, A. P.; Pastorino, R.","","Dangerous good transportation by road: from risk analysis to emergency planning","Research Gate","","",NA,NA,NA,"","",2005,"","","","",1
"11","D011",NA,NA,NA,NA,NA,NA,NA,"J","Felipe, DVL","","BioDocker: an open-source and community-driven framework for software standardization","Research-Gate","","",NA,NA,NA,"","",2017,"","","","",1
"12","D012",NA,NA,NA,NA,NA,NA,NA,"J","Gupta, S; Jain, SK","","An application of 5S concept to organize the workplace at a scientific instruments manufacturing company","Research Gate","","",NA,NA,NA,"DOI 10.1108/IJLSS-08-2013-0047","March",2015,"","","","",1
"13","D013",NA,NA,NA,NA,NA,NA,NA,"J","Jakobek, L.; Seruga, M.; Novak, I.; Medvidovic-Kosanovic, M.","","","Research Gate","103","",1,1,NA,"","",2007,"","","","",1
"14","D014",NA,NA,NA,NA,NA,NA,NA,"J","Kalenda, J.; Karger, T.","","Kreativni trida v kriticke optice Bourdieuho teorie","Research Gate","","",NA,NA,NA,"","",2011,"","","","",1
"15","D015",NA,NA,NA,NA,NA,NA,NA,"J","Kavitha, G.; Ramani, G.; Dhass, P. K.; Aruna, R. M.","","Oxidative stress, interleukin (IL- 6) and atherogenic index of plasma in diabetic nephropathy","Research Gate","2","",211,216,NA,"","",2011,"","","","",1
"16","D016",NA,NA,NA,NA,NA,NA,NA,"J","Kobmoo, N.","","How can we extract the hemolymph from insects, especially from small ones like ants?","Research Gate","8","",19,19,NA,"","",2012,"","","","",1
"17","D017",NA,NA,NA,NA,NA,NA,NA,"J","Kraft, R.","","A maschine learning approach to improve precision for navigational queries in a web information retrieval system","Research Gate","","",NA,NA,NA,"","",2002,"","","","",1
"18","D018",NA,NA,NA,NA,NA,NA,NA,"J","Kunc, V; Frame, B; Nguyen, BN","","Fiber Length Distribution Measurement for long Glass and Carbon Fiber Reinforced Injection Molded Thermoplastics","Research Gate","","",NA,NA,NA,"","",2007,"","","","",1
"19","D019",NA,NA,NA,NA,NA,NA,NA,"J","Lin, D.","","An information-theoretic definition of similarity","Research Gate","1","",NA,NA,NA,"","",1998,"","","","",1
"20","D020",NA,NA,NA,NA,NA,NA,NA,"J","Mirghani, HO; Elbadawi, AS","","Are diabetes mellitus, restless syndrome, and fibromyalgia related?","Research Gate","5","",208,215,NA,"","",2016,"","","","",1
"21","D021",NA,NA,NA,NA,NA,NA,NA,"J","Mishra, A. K.; Yadava, R.; Mishra, A.; Verma, A.","","","Research Gate","2","",NA,NA,974,"","",2010,"","","","",1
"22","D022",NA,NA,NA,NA,NA,NA,NA,"J","Mizuno, K; Fukai, I; Murata, T; Goto, T.","","Pulmonary pleomorphic carcinoma","Research Gate","65","",863,66,NA,"","",2006,"","","","",1
"23","D023",NA,NA,NA,NA,NA,NA,NA,"J","Muhs, D.R.; Prospero, J.M.; Baddock, M.C.; Gill, T.E.","","Identifying sources of Aeolian mineral dust: present and past. Mineral dust- a key player in the earth system","Research Gate","","",NA,NA,NA,"","",2014,"","","","",2
"24","D024",NA,NA,NA,NA,NA,NA,NA,"J","Nikolic, D.; Kovacev-Nikolic, V.","","Dynamical model of the maltose-binding protein","Research Gate","","",NA,NA,NA,"10.13140/2.1.3269.8883","",2013,"","","","",1
"25","D025",NA,NA,NA,NA,NA,NA,NA,"J","Njuguna, J.; Pielichowski, K.","","The role of advanced polymer materials in aerospace","Research Gate","","",1,48,NA,"","",2013,"","","","",1
"26","D026",NA,NA,NA,NA,NA,NA,NA,"J","Oliveira, LS; Franca, AS","","An overview of the potential uses for coffee husks","Coffee in health and disease prevention","31","",283,291,NA,"","",2015,"","","","",3
"27","D027",NA,NA,NA,NA,NA,NA,NA,"J","Perez, L; Bequer, L; Gomez, T; Gonzalez, O; Heredia, D; Molina, O","","Actividad de la gamma glutamil transferasa serica: distribucion estadistica, variaciones segun edad y sexo e intervalos de referencia en villa clara","Research-Gate","3","",122,143,NA,"","",2013,"","","","",1
"28","D028",NA,NA,NA,NA,NA,NA,NA,"J","Phan, P. H.","","Book Review: Asian eclipse: Exposing the dark side of business in Asia","Research Gate","16","2",305,308,NA,"DOI 10.1023/A:1015403429281","",1999,"","","","",1
"29","D029",NA,NA,NA,NA,NA,NA,NA,"J","Pokrovsky, O. S.","","Full data set of major and trace element concentration in snow water (0.45 &mu;m) and snow parcticles sampled across the latitudinal profile of Western Siberia Lowland","Research Gate","","",NA,NA,NA,"","",2016,"","","","",1
"30","D030",NA,NA,NA,NA,NA,NA,NA,"J","Pramono, YH; Geshiro, M; Kitamura, T; Sawa, S","","Optical logic OR-AND-NOT and NOR gates in waveguides consisting of nonlinear material","IEICE TRANSACTIONS ON ELECTRONICS","E83C","11",1755,1762,NA,"","NOV 2000",2000,"","","","",19
"31","D031",NA,NA,NA,NA,NA,NA,NA,"J","Prathapan, K. D.","","","Research Gate","","",NA,NA,NA,"10.13140/RG.2.1.2150.5761","June",2015,"","","","",1
"32","D032",NA,NA,NA,NA,NA,NA,NA,"J","Roschek, T; Apolloni, M; Braga, A; Brunner, A; Caglar, O; Cashmore, JS; Cervetto, V; Fenner, Y; Gaucker, J; Hotzel, JE; Janot, R; Kalas, J; Keller, K; Krull, S; Kugler, E; Leu, G-F; Lindic, M-H; Losio, PA; Mates, T; Mereu, B; Psimoulis, I; Roth, F; Ristau, S; Salabas, A; Salabas, EL; Sinicco, I","","MICROMORPH<SUP>&TRADE;</SUP>Technology: introduction and the path to record efficiencies","Research Gate","","",NA,NA,NA,"10.13140/RG.2.1.1628.8804","",2015,"","","","",1
"33","D033",NA,NA,NA,NA,NA,NA,NA,"J","Schallert, T; Woodlee, MT; Fleming, SM","","Disentangling multiple types of recovery from brain injury","Research Gate","","",201,216,NA,"","",2000,"","","","",1
"34","D034",NA,NA,NA,NA,NA,NA,NA,"J","Schmidt, M.; Aschwanden, J.; Liechti, F.; Nemeth, E.; Probst, R.; Rossler, M.; Schauer, C.; Denner, M.; Wichmann, G.","","V.i.A - Vogelzug im Alpenraum","Research Gate","","",NA,NA,NA,"DOI 10.13140/RG.2.2.19922.96963","",2016,"","","","",1
"35","D035",NA,NA,NA,NA,NA,NA,NA,"J","Schulz, J. F.","","The churches' bans on consanguineous marriages, kinnetworks and democracy","Research Gate","","",NA,NA,NA,"","",2017,"","","","",2
"36","D036",NA,NA,NA,NA,NA,NA,NA,"J","Schwarz, I G; Kovacevic, S; Kos, I.","","Physical-mechanical properties of automotive textile materials","Research Gate","","",11,11,NA,"","",2015,"","","","",1
"37","D037",NA,NA,NA,NA,NA,NA,NA,"J","Shafique, N. A.; Fulk, F.; Autrey, B. C.; Flotemersch, J.","","Hyperspectral remote sensing of water quality parameters for large rivers in the Ohio River basin","Research Gate.","","",216,221,NA,"","",2003,"","","","",5
"38","D038",NA,NA,NA,NA,NA,NA,NA,"J","de Vos, P. J. Sicco","","","Research Gate","","",NA,NA,NA,"","",2015,"","","","",1
"39","D039",NA,NA,NA,NA,NA,NA,NA,"J","Sirjani, Reza; Mohamed, Azah; Shareef, Hussain","","Heuristic Optimization Techniques to Determine Optimal Capacitor Placement and Sizing in Radial Distribution Networks: A Comprehensive Review","PRZEGLAD ELEKTROTECHNICZNY","88","7A",1,7,NA,"","2012",2012,"","","","",15
"40","D040",NA,NA,NA,NA,NA,NA,NA,"J","Stark, G.","","Three Killer Graphics","Research Gate","","",NA,NA,NA,"","",2014,"","","","",1
"41","D041",NA,NA,NA,NA,NA,NA,NA,"J","Steenbruggen, J.; Borzacchiello, M.T.; Nijkamp, P.; Scholten, H","","Real-Time Data from Mobile Phone Networks for Urban Incidence and Traffic Management-A Review of Applications and Opportunities","Research Gate","","",NA,NA,NA,"","",NA,"","","","",1
"42","D042",NA,NA,NA,NA,NA,NA,NA,"J","Tripathia, R. M.; Shrivastava, A.; Kumar, N.; Bhadwaib, A. S.; Kumar, R.; Guptab, R. P.; Shrivastavad, B. R.","","","Research Gate","","",NA,NA,NA,"","",NA,"","","","",1
"43","D043",NA,NA,NA,NA,NA,NA,NA,"J","Trotteyn, M. J.","","Nuevas evidencias del desarrollo del floculo en el cerebelo de arcosauriformes: variabilidad e implicancias paleobiologicas","Research Gate","","",NA,NA,NA,"","",2015,"","","","",1
"44","D044",NA,NA,NA,NA,NA,NA,NA,"J","Tsaknaki, V; Fernaeus, Y; Schaub, M","","Leather as a material for crafting interactive and physical artifacts","Research Gate","05","",5,14,NA,"","",2014,"","","","",1
"45","D045",NA,NA,NA,NA,NA,NA,NA,"J","Vojvodic, Svetlana; Popovic, Stevan; Macukanovic-Golubovic, Lana","","[Implications of HLA linkage disequilibrium phenomenon in finding unrelated volunteer bone marrow donors].","Medicinski pregled","60","3-4",178,82,NA,"","2007 Mar-Apr",2007,"","","","",1
"46","D046",NA,NA,NA,NA,NA,NA,NA,"J","Woodward, E.; Jagdev, S.; McParland, L.; Clark, K.; Gregory, W.; Newsham, A.","","Skeletal complications and survival in renal cancer patients with bone metastases","Research Gate","48","1",1606,1606,NA,"","",2011,"","","","",1
"47","D047",NA,NA,NA,NA,NA,NA,NA,"J","[Anonymous]","","A surey towards understanding residential prosumers in smart grid neighbouhoods","Research Gate","","",NA,NA,NA,"","",2012,"","","","",1
