PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Almeida, MM								Human Resources for Health in Brazil								Research Gate.											10.13140/2.1.3749.5360				2014										1									
J	Ardron, J. A.; Wallace, S.								Modelling inshore rockfish habitat in British Columbia: A pilot study								Research Gate															2015										1									
J	Belforte, P.																Research gate															2016										1									
J	Bukenya, F.; Kiweewa, A.; Bai, L.								A Review of Vessel Segmentation Techniques								Research Gate															2017										1									
J	Burdea, Grigore C.; Jain, Abhishek; Rabin, Bryan; Pellosie, Richard; Golomb, Meredith			IEEE					Long-Term Hand Tele-Rehabilitation on the PlayStation 3: Benefits and Challenges								IEEE Engineering in Medicine and Biology Society Conference Proceedings								1835	1838		10.1109/IEMBS.2011.6090522			2011	2011						33rd Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS)	AUG 30-SEP 03, 2011	IEEE; Engn Med & Biol Soc (EMBS)	Boston, MA	10									
J	Chiad, Sami Salman; Habubi, Nadir Fadhil; Khaleel, Reem Saadi; Abdul Hussein, Obaida Amer																Research Gate								515	515						2010										1									
J	Dai, X.; Zhao, Y.; Li, M.; Fang, X.; Li, X.; Li, H.; Xu, B.																Research Gate				4				1557	1565						2013										1									
J	Das, P. C.; Chatterjee, P.; Kumar, P.; Kumar, G.; Dey, A. B.								Prevalence and predictors of geriatric syndromes in an outpatient clinic at a tertiary care hospital of India								Research Gate				2	1			117	120						2012										1									
J	Elliott, D; Smith, D								Football stadia disasters in the United Kingdom: learning from tragedy?								Indust. Environ. Crisis Q.				7				205	29						1993										45									
J	Fabiano, B.; Curro, F.; Reverberi, A. P.; Pastorino, R.								Dangerous good transportation by road: from risk analysis to emergency planning								Research Gate															2005										1									
J	Felipe, DVL								BioDocker: an open-source and community-driven framework for software standardization								Research-Gate															2017										1									
J	Gupta, S; Jain, SK								An application of 5S concept to organize the workplace at a scientific instruments manufacturing company								Research Gate											DOI 10.1108/IJLSS-08-2013-0047			March	2015										1									
J	Jakobek, L.; Seruga, M.; Novak, I.; Medvidovic-Kosanovic, M.																Research Gate				103				1	1						2007										1									
J	Kalenda, J.; Karger, T.								Kreativni trida v kriticke optice Bourdieuho teorie								Research Gate															2011										1									
J	Kavitha, G.; Ramani, G.; Dhass, P. K.; Aruna, R. M.								Oxidative stress, interleukin (IL- 6) and atherogenic index of plasma in diabetic nephropathy								Research Gate				2				211	216						2011										1									
J	Kobmoo, N.								How can we extract the hemolymph from insects, especially from small ones like ants?								Research Gate				8				19	19						2012										1									
J	Kraft, R.								A maschine learning approach to improve precision for navigational queries in a web information retrieval system								Research Gate															2002										1									
J	Kunc, V; Frame, B; Nguyen, BN								Fiber Length Distribution Measurement for long Glass and Carbon Fiber Reinforced Injection Molded Thermoplastics								Research Gate															2007										1									
J	Lin, D.								An information-theoretic definition of similarity								Research Gate				1											1998										1									
J	Mirghani, HO; Elbadawi, AS								Are diabetes mellitus, restless syndrome, and fibromyalgia related?								Research Gate				5				208	215						2016										1									
J	Mishra, A. K.; Yadava, R.; Mishra, A.; Verma, A.																Research Gate				2						0974					2010										1									
J	Mizuno, K; Fukai, I; Murata, T; Goto, T.								Pulmonary pleomorphic carcinoma								Research Gate				65				863	66						2006										1									
J	Muhs, D.R.; Prospero, J.M.; Baddock, M.C.; Gill, T.E.								Identifying sources of Aeolian mineral dust: present and past. Mineral dust- a key player in the earth system								Research Gate															2014										2									
J	Nikolic, D.; Kovacev-Nikolic, V.								Dynamical model of the maltose-binding protein								Research Gate											10.13140/2.1.3269.8883				2013										1									
J	Njuguna, J.; Pielichowski, K.								The role of advanced polymer materials in aerospace								Research Gate								1	48						2013										1									
J	Oliveira, LS; Franca, AS								An overview of the potential uses for coffee husks								Coffee in health and disease prevention				31				283	291						2015										3									
J	Perez, L; Bequer, L; Gomez, T; Gonzalez, O; Heredia, D; Molina, O								Actividad de la gamma glutamil transferasa serica: distribucion estadistica, variaciones segun edad y sexo e intervalos de referencia en villa clara								Research-Gate				3				122	143						2013										1									
J	Phan, P. H.								Book Review: Asian eclipse: Exposing the dark side of business in Asia								Research Gate				16	2			305	308		DOI 10.1023/A:1015403429281				1999										1									
J	Pokrovsky, O. S.								Full data set of major and trace element concentration in snow water (0.45 &mu;m) and snow parcticles sampled across the latitudinal profile of Western Siberia Lowland								Research Gate															2016										1									
J	Pramono, YH; Geshiro, M; Kitamura, T; Sawa, S								Optical logic OR-AND-NOT and NOR gates in waveguides consisting of nonlinear material								IEICE TRANSACTIONS ON ELECTRONICS				E83C	11			1755	1762					NOV 2000	2000										19									
J	Prathapan, K. D.																Research Gate											10.13140/RG.2.1.2150.5761			June	2015										1									
