,AID,CitationDetail_RG,FulltextAvailable,DOI_RG,AuthorUpload,SourcePubs,SourcePreprint,SourceRepo,SourceWebsite,SourceURl,SourceDOI,ItemClass,Copyrighted,Licensed,HCISI,PT,AU,CA,GP,Z2,TI,Z1,Z3,SO,VL,IS,BP,EP,AR,DI,PD,PY,CT,CY,SP,CL,TC
183,A001,Yes,No,No,No,Cytotherapy June 2013,No,No,No,No,DOI: 10.1016/j.jcyt.2013.05.002,ARTICLE,Yes,No,No,J,[Anonymous],NA,NA,NA,Improvement of contusive spinal cord injury in rats by co- transplantation of gamma- aminobutyric acidergic cells and bone marrow stromal cells,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
184,A002,Yes,No,No,No,FUZZ-IEEE-2011,No,No,No,No,DOI: 10.1109/FUZZY.2011.6007707,PROCEEDINGS PAPER,Yes,No,NA,J,[Anonymous],NA,NA,NA,Academic paper insights: Investment decision making by using fuzzy candlestick pattern and genetic algorithm,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
187,A003,Yes,Yes,Yes,Yes,No,No,No,No,No,DOI: 10.13140/RG.2.2.16497.68960,DATA SETS,No,No,NA,J,[Anonymous],NA,NA,NA,Supplementary material- NPh 17044SS,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,20-Jun,2017,NA,NA,NA,NA,1
227,A004,Yes,Yes,No,Yes,Scientometrics May 2010,No,No,No,No,DOI: 10.1007/s11192-009-0076-0,ARTICLE,Yes,No,Yes,J,[Anonymous],NA,NA,NA,Uncovering Excellence in Academic Rankings: A Closer Look at the Shanghai Ranking,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,14-Jul,2009,NA,NA,NA,NA,1
250,A005,Yes,Yes,No,Yes,The New Iraqi Journal of Medicine,No,No,No,https://journals.indexcopernicus.com/search/article?articleId=894854,No,ARTICLE,NA,NA,NA,J,[Anonymous],NA,NA,NA,Assessment of referral characteristics of a sample of patients attending the secondary care units at Erbil teaching hospital,NA,NA,ResearchGate,7,2,70,6,NA,NA,NA,2011,NA,NA,NA,NA,1
338,A006,Yes,Yes,No,Yes,IEEE ISGT Europe January 2012,No,No,No,https://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?&punumber%3D6450175%26filter%3DAND%28p_IS_Number%3A6465601%29%26pageNumber%3D2&searchWithin=A%20Survey%20Towards%20Understanding%20Residential%20Prosumers%20in%20Smart%20Grid%20Neighbourhoods&pageNumber=1&resultAction=REFINE,No,PROCEEDINGS PAPER,Yes,No,NA,J,[Anonymous],NA,NA,NA,A surey towards understanding residential prosumers in smart grid neighbouhoods,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,1
1,A007,No,Yes,No,Yes,Chemeca 2011;,No,No,No,https://search.informit.com.au/browsePublication;isbn=9780858259676;res=IELENG,No,PROCEEDINGS PAPER,Yes,No,NA,J,"Abdollahi, Z; Gomes, VG",NA,NA,NA,Synthesis and characterization of polyacrylamide with controlled molar weight,NA,NA,ResearchGate,NA,NA,1,7,NA,NA,NA,2011,NA,NA,NA,NA,1
251,A008,Yes,No,No,No,Mechanism and Machine Theory 1992,No,No,No,No,https://doi.org/10.1016/0094-114X(92)90064-O,ARTICLE,Yes,No,Preprint,J,"Abrate, S.",NA,NA,NA,"Vibration of belts and belt driver, Mechanism and machine theory",NA,NA,Research Gate,NA,NA,NA,NA,NA,DOI 10.1016/0094-114X(92)90064-O,"November,",1992,NA,NA,NA,NA,1
2,A009,No,Yes,No,No,IJCSE,No,psu.edu ,No,http://www.enggjournals.com/ijcse/doc/IJCSE12-04-05-237.pdf; http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.433.2037&rep=rep1&type=pdf,No,ARTICLE,NA,CC BY 4.0,NA,J,"Agrawal, M.; Mishra, P.",NA,NA,NA,A Comparative Survey on Symmetric Key Encryption Techniques,NA,NA,ResearchGate,4,5,NA,NA,NA,NA,May,2012,NA,NA,NA,NA,2
3,A010,Yes,No,No,No,International Journal of Research in Ayurveda and Pharmacy,No,No,No,No,DOI: 10.7897/2277-4343.05368,ARTICLE,No,CC BY-NC 3.0,NA,J,"Akilla, B.; Manickavasakam, K.",NA,NA,NA,Anatomical studies on the seeds of Alternanthera sessilis Linn,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,1
