,AID,CID,CitedAs,Locatable,CitationDetail_RG,FulltextAvailable,DOI_RG,AuthorUpload,SourcePubs,SourcePreprint,SourceRepo,SourceWebsite,SourceURl,SourceDOI,ItemClass,Copyrighted,Licensed,HCISI,PT,AU,CA,GP,Z2,TI,Z1,Z3,SO,VL,IS,BP,EP,AR,DI,PD,PY,CT,CY,SP,CL,TC
1,P001,NA,Title,Yes,No,Yes,No,Yes,Chemeca 2011;,No,No,No,https://search.informit.com.au/browsePublication;isbn=9780858259676;res=IELENG,No,PROCEEDINGS PAPER,Yes,NA,NA,J,"Abdollahi, Z; Gomes, VG",NA,NA,NA,Synthesis and characterization of polyacrylamide with controlled molar weight,NA,NA,ResearchGate,NA,NA,1,7,NA,NA,NA,2011,NA,NA,NA,NA,1
2,P002,NA,Title,Yes,No,Yes,No,No,IJCSE,No,psu.edu ,No,http://www.enggjournals.com/ijcse/doc/IJCSE12-04-05-237.pdf; http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.433.2037&rep=rep1&type=pdf,No,ARTICLE,NA,CC BY 4.0,NA,J,"Agrawal, M.; Mishra, P.",NA,NA,NA,A Comparative Survey on Symmetric Key Encryption Techniques,NA,NA,ResearchGate,4,5,NA,NA,NA,NA,May,2012,NA,NA,NA,NA,2
252,P002,NA,Title,Yes,No,Yes,No,No,IJCSE,No,psu.edu ,No,http://www.enggjournals.com/ijcse/doc/IJCSE12-04-05-237.pdf; http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.433.2037&rep=rep1&type=pdf,No,ARTICLE,NA,CC BY 4.0,NA,J,"Agrawal, M.; Mishra, P.",NA,NA,NA,A Comparative Survey on Symmetric Key Encryption Techniques,NA,NA,ResearchGate,4,5,NA,NA,NA,NA,May,2012,NA,NA,NA,NA,2
3,P003,NA,Title;URL,Yes,Yes,No,No,No,International Journal of Research in Ayurveda and Pharmacy,No,No,No,No,DOI: 10.7897/2277-4343.05368,ARTICLE,No,CC BY-NC 3.0,NA,J,"Akilla, B.; Manickavasakam, K.",NA,NA,NA,Anatomical studies on the seeds of Alternanthera sessilis Linn,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,1
4,P004,NA,Title,Yes,No,Yes,No,Yes,No,No,psu.edu ,Academia.edu; Baidu,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.103.3657;https://s3.amazonaws.com/academia.edu.documents/30709818/2005_Alexander_Brunye_Sidman_Weil.pdf?AWSAccessKeyId=AKIAIWOWYYGZ2Y53UL3A&Expires=1531168242&Signature=%2BEIr27YABS0J4%2FURh33N5XIWuGw%3D&response-content-disposition=inline%3B%20filename%3DFrom_gaming_to_training_A_review_of_stud.pdf; https://wenku.baidu.com/view/16b1d31455270722192ef7bd.html,No,ARTICLE,No,NA,NA,J,"Alexander, A. L.; Brunye, T.; Sidman, J.; Weil, S. A.",NA,NA,NA,"From Gaming to Training: A Review of Studies on Fidelity, Immersion, Presence, and Buy-in and Their Effects on Transfer in PC-Based Simulations and Games",NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Jan,2005,NA,NA,NA,NA,1
5,P005,NA,NA,Yes,Yes,No,No,No,International Journal of High Speed Electronics and Systems,NA,NA,Academia.edu,https://syr.academia.edu/DamianAllis,DOI: 10.1142/S0129156407004436,ARTICLE,No,OA,NA,J,"Allis, D. G.; Korter, T. M.",NA,NA,NA,"Development of Computational Methodologies for the Prediction and Analysis of Solid-State Terahertz Spectra, 2",NA,NA,ResearchGate,17,NA,193,212,NA,NA,NA,2007,NA,NA,NA,NA,1
6,P006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Amrollahi, A.",NA,NA,NA,A Process Model for Crowdsourcing: Insights from the Literature on Implementation,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
7,P007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Arbizu, PM",NA,NA,NA,NA,NA,NA,How can I do PerMANOVA pairwise contrasts in R? ResearchGate,NA,NA,NA,NA,NA,NA,30-Jan,2016,NA,NA,NA,NA,1
8,P008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Polovodova Asteman, I. R.; Schonfeld, J.",NA,NA,NA,"Recent invasion of the foraminifer Nonionella stella Cushman & Moyer, 1930 in northern European waters: evidence from the Skagerrak and its Fjords",NA,NA,ResearchGate,35,1,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
9,P009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Aubry, S.; Andre, G.",NA,NA,NA,NA,NA,NA,ResearchGate,3,NA,NA,NA,NA,NA,Jan.,1980,NA,NA,NA,NA,1
