CID,AID,CitedAs,Locatable,PT,AU,BA,BE,GP,AF,BF,TI,SO,SE,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
C001,A001,Title,Yes,J,"Shu, SY; Jiang, G; Zeng, QY; Wang, B; Li, H; Ma, L; Steinbusch, H; Song, C; Chan, WY; Chen, XH; Wu, YM; Bao, R; Chen, YC; Wu, JY",NA,NA,NA,"Shu, Si-Yun; Jiang, Gang; Zeng, Qi-Yi; Wang, Bin; Li, Hong; Ma, Lin; Steinbusch, Harry; Song, Cai; Chan, Wood-Yee; Chen, Xu-Hong; Wu, Yon-Ming; Bao, Rong; Chen, Yan-chen; Wu, Jang-Yen",NA,The Marginal Division of the Striatum and Hippocampus Has Different Role and Mechanism in Learning and Memory,MOLECULAR NEUROBIOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The memory function of the hippocampal formation (Hip) and the marginal division (MrD) of neostriatum was compared. Rats with bilateral lesions of the MrD either immediate or 24 h after training in Y-maze were found to have decrease in correct runs in both groups. However, animals with transected afferent and efferent nerve bundles to isolate the Hip immediately or 24 h after training in Y-maze were found to show a decrease in correct runs only in the group injured immediately after Y-maze training but not in the 24 h group suggesting that MrD is likely involved in the entire process of long-term memory consolidation whereas the Hip only contributes to memory in the early stage. In addition, animals treated with a NMDA receptor (NMDAR) blocker, e.g. MK-801, showed decreased correct runs in Y-maze test and in expression level of phosphorylated CREB (pCREB) in neurons of the MrD but not in the Hip. Furthermore, animals treated with okadaic acid (OA), a potent protein phosphatase 1 inhibitor, showed increased correct runs in the Y-maze test. The expression level of pCREB and c-Fos and c-Jun was found increased in neurons of the MrD and the Hip in response to OA treatment. In conclusion, NMDAR and pCREB are involved in memory functions of both the Hip and the MrD. NMDAR might regulate pCREB level in neurons of the MrD but not in the Hip. Hence, the processes and mechanism of learning and memory involved in the MrD and the Hip may be different.",NA,NA,NA,"Steinbusch, Heinrich/L-6950-2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0893-7648,1559-1182,NA,NA,NA,APR,2015,51,2,NA,NA,NA,827,839,NA,10.1007/s12035-014-8891-6,NA,NA,NA,NA,NA,NA,NA,WOS:000351311800033,25274077,NA,NA,NA,NA
C002,A002,URL;Title,Yes,S,"Sangsawad, S; Fung, CC",NA,"Mitrpanont, JL; Sawangphol, W",NA,"Sangsawad, Seksan; Fung, Chun Che",NA,Extracting Significant Features Based on Candlestick Patterns Using Unsupervised Approach,2017 2ND INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY (INCIT),Proceedings of the International Conference on Information Technology,NA,NA,2nd International Conference on Information Technology (INCIT),"NOV 02-03, 2017","Nakhonpathom, THAILAND",IEEE,NA,NA,NA,"This paper proposes algorithms for the extraction of features from candlestick patterns for technical analysis of share indices. The significant features consist of: the direction of candlestick, the gap between CLOSE and OPEN price of two candlesticks, the body level of current and previous candlesticks, and the length of the candlesticks. K-Means clustering approach is applied for solving the unclearly defined length of Upper Shadow, Body and Lower Shadow. The Thai SET index OHLC data from 1990 to 2017 are used as the experimental dataset. The results show the similarity between the candlestick chart from raw data and decoding data, which is applied by the proposed algorithms. The output result from the approach can he used as the input to other machine learning methods such as Artificial Neuron Networks, Reinforcement Learning, or Content Based Image Retrieval (CBIR).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2155-8973,NA,978-1-5386-1431-0,NA,NA,NA,2017,NA,NA,NA,NA,NA,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000426980100002,NA,NA,NA,NA,NA
C003,A003,URL;Title,Yes,J,"Morais, GAZ; Scholkmann, F; Balardin, JB; Furucho, RA; de Paula, RCV; Biazoli, CE; Sato, JR",NA,NA,NA,"Morais, Guilherne Augusto Zimeo; Scholkmann, Felix; Balardin, Joana Bisol; Furucho, Rogerio Akira; de Paula, Renan Costa Vieira; Biazoli, Claudinei Eduardo, Jr.; Sato, Joao Ricardo",NA,Non-neuronal evoked and spontaneous hemodynamic changes in the anterior temporal region of the human head may lead to misinterpretations of functional near-infrared spectroscopy signals,NEUROPHOTONICS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Several functional near-infrared spectroscopy (fNIRS) studies report their findings based on changes of a single chromophore, usually concentration changes of oxygenated hemoglobin ([O(2)Hb]) or deoxygenated hemoglobin (HHb). However, influence of physiological actions may differ depending on which element is considered and the assumption that the chosen measure correlates with the neural response of interest might not hold. By assessing the correlation between [O(2)Hb] and [HHb] in task-evoked activity as well as resting-state data, we identified a spatial dependency of non-neuronal hemodynamic changes in the anterior temporal region of the human head. Our findings support the importance of reporting and discussing fNIRS outcomes obtained with both chromophores ([O(2)Hb] and [HHb]), in particular, for studies concerning the anterior temporal region of the human head. This practice should help to achieve a physiologically correct interpretation of the results when no measurements with short-distance channels are available while employing continuous-wave fNIRS systems. (c) The Authors. Published by SPIE under a Creative Commons Attribution 3.0 Unported License.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2329-423X,2329-4248,NA,NA,NA,JAN-MAR,2018,5,1,NA,NA,NA,NA,NA,11002,10.1117/1.NPh.5.1.011002,NA,NA,NA,NA,NA,NA,NA,WOS:000429587200002,NA,NA,NA,NA,NA
C004,A004,URL;Title,Yes,J,"Li, JT",NA,NA,NA,"Li, John T.",NA,What we learn from the shifts in highly cited data from 2001 to 2014?,SCIENTOMETRICS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuter's highly cited database (HiCite) (http://www.highlycited.com) is composed of the top researchers in several subspecialties belonging to the 22 essential science indicator fields of the web of science. By analyzing the data collected, we are able to calculate several correlations in the data based upon select areas, view trends of changes in rank, percentage of contribution, and countries, and re-rank the organizations by new standards. The purpose of this is to refocus and highlight previously unaccounted but significant details that are historically ignored, such as economics, specialties, nationality, efficiency, and field, and to evaluate performance of the separate organizations by multiple factors, with an emphasis on the status of the United States of America.",NA,NA,NA,NA,"Li, John/0000-0002-7218-8298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0138-9130,1588-2861,NA,NA,NA,JUL,2016,108,1,NA,NA,NA,57,82,NA,10.1007/s11192-016-1958-6,NA,NA,NA,NA,NA,NA,NA,WOS:000378777500004,NA,NA,NA,NA,NA
C005,A005,URL,Yes,J,"Shukor, AR; Klazinga, NS; Kringos, DS",NA,NA,NA,"Shukor, Ali R.; Klazinga, Niek S.; Kringos, Dionne S.",NA,"Primary care in an unstable security, humanitarian, economic and political context: the Kurdistan Region of Iraq",BMC HEALTH SERVICES RESEARCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Background: This study presents a descriptive synthesis of Kurdistan Region of Iraq's (KRI) primary care system, which is undergoing comprehensive primary care reforms within the context of a cross-cutting structural economic adjustment program and protracted security, humanitarian, economic and political crises. Methods: The descriptive analysis used a framework operationalizing Starfield's classic primary care model for health services research. A scoping review was performed using relevant sources, and expert consultations were conducted for completing and validating data. Results: The descriptive analysis presents a complex narrative of a primary care system undergoing classical developmental processes of transitioning middle-income countries. The system is simultaneously under tremendous pressure to adapt to the continuously changing, complex and resource-intensive needs of sub-populations exhibiting varying morbidity patterns, within the context of protracted security, humanitarian, economic, and political crises. Despite exhibiting significant resilience in the face of the ongoing crises, the continued influx of IDPs and Syrian refugees, coupled with extremely limited resources and weak governance at policy, organizational and clinical levels threaten the sustainability of KRI's public primary care system. Diverse trajectories to the strengthening and development of primary care are underway by local and international actors, notably the World Bank, RAND Corporation, UN organizations and USAID, focusing on varying imperatives related to the protracted humanitarian and economic crises. Conclusions: The convergence, interaction and outcomes of the diverse initiatives and policy approaches in relation to the development of KRI's primary care system are complex and highly uncertain. A common vision of primary care is required to align resources, initiatives and policies, and to enable synergy between all local and international actors involved in the developmental and humanitarian response. Further research that integrates the knowledge synthesized in this article, and enables actors in KRI to learn from their own experiences and efforts, along with those of other jurisdictions, would be invaluable towards the ongoing development of primary care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1472-6963,NA,NA,NA,NA,23-Aug,2017,17,NA,NA,NA,NA,NA,NA,592,10.1186/s12913-017-2501-z,NA,NA,NA,NA,NA,NA,NA,WOS:000408473000006,28835274,NA,NA,NA,NA
C006,A006,Title,Yes,J,"Shaukat, N; Ali, SM; Mehmood, CA; Khan, B; Jawad, M; Farid, U; Ullah, Z; Anwar, SM; Majid, M",NA,NA,NA,"Shaukat, N.; Ali, S. M.; Mehmood, C. A.; Khan, B.; Jawad, M.; Farid, U.; Ullah, Z.; Anwar, S. M.; Majid, M.",NA,"A survey on consumers empowerment, communication technologies, and renewable generation penetration within Smart Grid",RENEWABLE & SUSTAINABLE ENERGY REVIEWS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Smart Grid (SG) is a technological transformation from conventional electric grid, electro-mechanically controlled system, to smart, intelligent, and electronically controlled system called the Smart Grid (SG). There are about 20-30% losses present in the conventional electric grid due to substandard operations at generation, transmission and distribution side. The major players in the transformation are: (a) increased electricity cost, (b) aging infrastructure, (c) carbon footprint, (d) Green House Gas emissions, (e) climate change, and (f) less efficient electrical network. The promising features of the Smart Grid are: (a) intelligent de-centralized control, (b) resilience, (c) flexibility, (d) sustainability, (e) digitalization, (f) intelligence, (g) consumer empowerment, (h) green energy, and (i) smart infrastructure. The fundamental issues and open challenges in the SG are lack of awareness, consumer acceptance, cyber terrorism, data collection management, energy metering, dynamic optimization and energy control. Considering above, in this paper, a comprehensive review exploring information of development, technologies, and techniques in the SG. The main goal is to investigate and reveal the key enabling technologies, to obtain better picture about the current status of SG development. The focus areas of this review study are Architectural Model focusing Consumer Empowerment (CE), Demand Response Program (DRP), and Demand Side Management (DSM). Our survey discusses in detail the Communication Technologies, such as Wireless Advance Metering Infrastructure (AMI), Phasor Measurement Unit (PMU), Supervisory Control and Data Acquisition (SCADA), and Machine to Machine Communication (M2M). The power systems such as Micro Grid, Nano Grid, Pico Grid, Inter Grid, Virtual Power Plants, and Distributed Generation are also elaborated in this review study. Renewable Energy Resources (RERs) Integration with the SG and Integration issues related to Distributed generation (DG) are presented in this survey. This survey also analyzes Architectural Model of the Smart Grid focusing consumer empowerment and prosumers interaction. The aim of this study is to provide deep understanding of technologies and their applications in the SG.",NA,NA,NA,NA,"Anwar, Syed/0000-0002-8179-3959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1364-0321,NA,NA,NA,NA,JAN,2018,81,NA,1,NA,NA,1453,1475,NA,10.1016/j.rser.2017.05.208,NA,NA,NA,NA,NA,NA,NA,WOS:000417070500104,NA,NA,NA,NA,NA
C007,A007,Title,Yes,J,"Cisneros-Covarrubias, CA; Corona-Rivera, MA; Ovando-Medina, VM; Martinez-Gutierrez, H; Mendizabal, E; Manriquez-Gonzalez, R",NA,NA,NA,"Cisneros-Covarrubias, Candida A.; Corona-Rivera, Miguel A.; Ovando-Medina, Victor M.; Martinez-Gutierrez, Hugo; Mendizabal, Eduardo; Manriquez-Gonzalez, Ricardo",NA,Water-dispersible nanohydrogels of cross-linked polyacrylamide,COLLOID AND POLYMER SCIENCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stable water-dispersible nanohydrogels of cross-linked polyacrylamide (PAAm) were obtained by batch (BP) and semicontinuous (SP) processes through inverse microemulsion polymerization using N,N'-methylenebisacrylamide (NMBAM) as cross-linking agent and bis(2-ethylhexyl) sulfosuccinate sodium salt (AOT) as surfactant. The effects of initiator type as 2,2'-Azobis(2-amidinopropane) hydrochloride (V-50), potassium persulfate (KPS), ammonium persulfate (APS), and benzoyl peroxide (BPO) on kinetics, particle size, and morphology were studied. It was observed that under the studied conditions, it is possible to form the inverse microemulsions using lower surfactant concentrations than those typically reported for microemulsin polymerization of this monomer. Z-average particle size (Dpz) of final latexes were in the range of 51 to 79 nm for BP, those corresponding to SP were in the interval of 118 to 225 nm, while Dpz of water-dispersed nanohydrogels varied from 530 to 825 nm conserving their spherical morphology. Particle size distributions of both latexes and the water-dispersed nanohydrogels were monomodal. High monomer conversions and fast polymerization rates were observed in all cases, achieving monomer-starved conditions when using low monomer addition rate in SP process.",NA,NA,NA,"CORONA RIVERA, MIGUEL ANGEL/O-5228-2014","CORONA RIVERA, MIGUEL ANGEL/0000-0001-9504-8506",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0303-402X,1435-1536,NA,NA,NA,DEC,2017,295,12,NA,NA,NA,2395,2404,NA,10.1007/s00396-017-4211-9,NA,NA,NA,NA,NA,NA,NA,WOS:000414945700013,NA,NA,NA,NA,NA
C008,A008,Title,Yes,S,"Wargula, L; Krawiec, P; Adamiec, JM; Walus, KJ",NA,"Piekarska, W; Sczygiol, N; Rojek, J; Winczek, J",NA,"Wargula, Lukasz; Krawiec, Piotr; Adamiec, Jaroslaw M.; Walus, Konrad J.",NA,The investigations of dynamic characteristics of a stepper motor,XXI POLISH-SLOVAK SCIENTIFIC CONFERENCE MACHINE MODELING AND SIMULATIONS MMS 2016,Procedia Engineering,NA,NA,21st Polish-Slovak International Scientific Conference on Machine Modeling and Simulations (MMS),"SEP 06-08, 2016","Hucisko, POLAND","Czestochowa Univ Technol, Fac Mech Engn & Comp Sci",NA,NA,NA,"The aim of the work is the examination of dynamic characteristics of a stepper motor. The results of the investigations will be applied to assess the usability of the stepper motor as a generator of the periodically variable motion of actuators. The examples of mechanical generators of periodically variable motion are gear, chain and cogbelt transmissions. The complex unevenness of the work can be achieved by the application of properly designed and manufactured gear wheels. The investigations have been performed with the application of versatile test stand which consisted of a set of shafts with torque sensors. The loads have been applied by a magnetorheological brake. (C) 2017 The Authors. Published by Elsevier Ltd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1877-7058,NA,NA,NA,NA,NA,2017,177,NA,NA,NA,NA,318,323,NA,10.1016/j.proeng.2017.02.232,NA,NA,NA,NA,NA,NA,NA,WOS:000400008100045,NA,NA,NA,NA,NA
C009,A009,Title,Yes,S,"Samet, N; Ben Letaifa, A; Hamdi, M; Tabbane, S",NA,NA,IEEE,"Samet, Nouha; Ben Letaifa, Asma; Hamdi, Mohamed; Tabbane, Sami",NA,Adaptive encryption for real time mobile multimedia services,2017 13TH INTERNATIONAL WIRELESS COMMUNICATIONS AND MOBILE COMPUTING CONFERENCE (IWCMC),International Wireless Communications and Mobile Computing Conference,NA,NA,13th International Wireless Communications and Mobile Computing Conference (IWCMC),"JUN 26-30, 2017","Valencia, SPAIN","IEEE, IEEE Spain Sect, Polytechn Univ Valencia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2376-6492,NA,978-1-5090-4372-9,NA,NA,NA,2017,NA,NA,NA,NA,NA,282,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000426991500048,NA,NA,NA,NA,NA
C010,A009,Title,Yes,S,"Samet, N; Ben Letaifa, A; Hamdi, M; Tabbane, S",NA,NA,IEEE,"Samet, Nouha; Ben Letaifa, Asma; Hamdi, Mohamed; Tabbane, Sami",NA,Energy consumption comparison for mobile video streaming encryption algorithm,2017 13TH INTERNATIONAL WIRELESS COMMUNICATIONS AND MOBILE COMPUTING CONFERENCE (IWCMC),International Wireless Communications and Mobile Computing Conference,NA,NA,13th International Wireless Communications and Mobile Computing Conference (IWCMC),"JUN 26-30, 2017","Valencia, SPAIN","IEEE, IEEE Spain Sect, Polytechn Univ Valencia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2376-6492,NA,978-1-5090-4372-9,NA,NA,NA,2017,NA,NA,NA,NA,NA,1350,1355,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000426991500229,NA,NA,NA,NA,NA
